id;start_date;end_date;language
1;2020-01-28T17:57:57;2020-01-28T15:48:12;SPANISH
2;2020-01-27T22:48:08;2020-01-28T17:52:33;SPANISH
3;2020-01-28T13:43:27;2020-01-28T00:17:36;FRENCH
4;2020-01-28T05:00:58;2020-01-28T16:32:24;FRENCH
5;2020-01-28T14:31:16;2020-01-28T19:18:15;FRENCH
6;2020-01-28T08:23:37;2020-01-28T20:31:51;FRENCH
7;2020-01-28T10:08:57;2020-01-28T03:59:48;FRENCH
8;2020-01-28T09:05:10;2020-01-28T19:21:18;SPANISH
9;2020-01-28T07:46:19;2020-01-28T04:27:42;SPANISH
10;2020-01-28T15:58:23;2020-01-28T02:32:53;SPANISH
